concept_name,count_questions,count_modules,count_courses,count_enterprises,courses_title,
Information,63,58,57,3," Abel - Defect Management Plan; Abel - Isolation Procedure; Access to High Voltage Conductors SOP; Aquatics Skill Test; Austar - Defect Management Plan; Austar - Emergency Incident Management; Austar - Energy Isolation Procedure - Individual Isolator; Big Red Boat - Ride Operation; Big Red Boat Skill; Big Red Car - Ride Operation; Big Red Car Skill; Buzzsaw Load Op - Ride Operation; Buzzsaw Op - Ride Operation; Continuous Disclosure; Continuous Disclosure Copy; Dronkey Flyers - Ride Operation; Dronkey Flyers Skill; Escape from Mad Load Op - Ride Operation; Escape from Mad Op - Ride Operation; Giant Drop Load Op - Ride Operation; Giant Drop Op - Ride Operation; ""Gingys Glider - Ride Operation""; Laser; Solar and Electromagnetic Radiation SOP; Microbiological Testing in Dairy Manufacturing; Microbiological Testing in Dairy Manufacturing Copy 2; Microbiological Testing in Dairy Manufacturing DRAFT; Mobile Equipment Operation Fundamentals; Motocoaster DH - Ride Operation; Motocoaster Op - Ride Operation; Motocoaster Ride Attendant - Operations; Pandamonium DH - Ride Operation; Pandamonium DH Skill; Pandamonium Op - Ride Operation; Play school wheel DH - Ride Operation; Play School Wheel Op - Ride Operation; Puss in Boots - Ride Operation; Puss in Boots Skill; Shockwave DH - Ride Operation; Shockwave Op - Ride Operation; Shreks Ogre Go Round - Ride Operation; Shreks Ogre Go Round Skill; Sidewinder DH - Ride Operation; Sidewinder Load Op - Ride Operation; Sidewinder Op - Ride Operation; Skadoosh - Ride Operation; Skadoosh Skill; Standard Ride Operation - Skill; Tailspin DH - Ride Operation; Tailspin Op - Ride Operation; The Claw DH - Ride Operation; The Claw Load Op - Ride Operation; The Claw Op - Ride Operation; Vintage Cars - Ride Operation; Vintage Cars Skill; Yarrabee - SOP 02 - Isolation and Tagging; Yarrabee - Std 11 - RPL- Onsite Refresher; Yarrabee SOP 02 - Isolation and Tagging",
Function (mathematics),102,57,57,2," Aquatics Skill Test; Big Red Boat - Ride Operation; Big Red Boat Skill; Big Red Car - Ride Operation; Big Red Car Skill; Buzzsaw Load Op - Ride Operation; Buzzsaw Op - Ride Operation; Core Hazard #11 - Mine Shafts and Winding Systems; Core Hazard #1B - Airborne Dust and Contaminants (Underground); Core Hazard #2 - Confined Space; Core Hazard #3 - Explosives; Core Hazard #6 - Gas Outburst; Core Hazard #8 - High Voltage; ""Dorothys Teacups - Ride Operation""; ""Dorothys Teacups Skill""; Dronkey Flyers - Ride Operation; Dronkey Flyers Skill; Escape from Mad Load Op - Ride Operation; Escape from Mad Op - Ride Operation; Giant Drop Load Op - Ride Operation; Giant Drop Op - Ride Operation; ""Gingys Glider - Ride Operation""; Motocoaster DH - Ride Operation; Motocoaster Op - Ride Operation; Motocoaster Ride Attendant - Operations; Pandamonium DH - Ride Operation; Pandamonium DH Skill; Pandamonium Op - Ride Operation; Play school wheel DH - Ride Operation; Play School Wheel Op - Ride Operation; Puss in Boots - Ride Operation; Puss in Boots Skill; Shockwave DH - Ride Operation; Shockwave DH Skill; Shockwave Op - Ride Operation; Shreks Ogre Go Round - Ride Operation; Shreks Ogre Go Round Skill; Sidewinder DH - Ride Operation; Sidewinder Load Op - Ride Operation; Sidewinder Op - Ride Operation; Skadoosh - Ride Operation; Skadoosh Skill; Sky Voyager DH - Ride Operation; Sky Voyager Op - Ride Operation; Sky Voyager Opening Crew Online Assessment and Documentation; Sky Voyager Ride Attendant - Operations; Tailspin DH - Ride Operation; Tailspin Op - Ride Operation; The Claw DH - Ride Operation; The Claw Load Op - Ride Operation; The Claw Op - Ride Operation; Train Conductor - Ride Operation; Train Conductor Skill; Train Driver - Ride Operation; Vintage Cars - Ride Operation; Vintage Cars Skill; Wiggle Bay SA Skill",
Height,56,56,56,1," Aquatics Skill Test; Big Red Boat - Ride Operation; Big Red Boat Skill; Big Red Car - Ride Operation; Big Red Car Skill; Buzzsaw Load Op - Ride Operation; Buzzsaw Op - Ride Operation; ""Dorothys Teacups - Ride Operation""; ""Dorothys Teacups Skill""; Dronkey Flyers - Ride Operation; Dronkey Flyers Skill; Escape from Mad Load Op - Ride Operation; Escape from Mad Op - Ride Operation; Giant Drop Load Op - Ride Operation; Giant Drop Op - Ride Operation; Giant Drop Operator - Online Assessment; ""Gingys Glider - Ride Operation""; Motocoaster DH - Ride Operation; Motocoaster Op - Ride Operation; Motocoaster Ride Attendant - Operations; Ogre-Go-Round - Online Assessment; Pandamonium DH - Ride Operation; Pandamonium DH Skill; Pandamonium Op - Ride Operation; Pandamonium Operator - Online Assessment; Pandamonium Ride Attendant - Online Assessment; Play school wheel DH - Ride Operation; Play School Wheel Op - Ride Operation; Puss in Boots - Ride Operation; Puss In Boots Online Assessment; Puss in Boots Skill; Shockwave DH - Ride Operation; Shockwave DH Skill; Shockwave Op - Ride Operation; Shreks Ogre Go Round - Ride Operation; Shreks Ogre Go Round Skill; Sidewinder DH - Ride Operation; Sidewinder Load Op - Ride Operation; Sidewinder Op - Ride Operation; Skadoosh - Ride Operation; Skadoosh Skill; Sky Voyager DH - Ride Operation; Sky Voyager Op - Ride Operation; Sky Voyager Opening Crew Online Assessment and Documentation; Sky Voyager Ride Attendant - Operations; Tailspin DH - Ride Operation; Tailspin Op - Ride Operation; The Claw DH - Ride Operation; The Claw Load Op - Ride Operation; The Claw Op - Ride Operation; Train Conductor - Ride Operation; Train Conductor Skill; Train Driver - Ride Operation; Vintage Cars - Ride Operation; Vintage Cars Skill; Wiggle Bay SA Skill",
Employment,87,56,52,3, Abel - Air Quality or Dust or Other Airborne Contaminants PHMP; Abel - Health Control Plan; Access to High Voltage Conductors SOP; Asbestos SOP; Ashton Coal Operations - Fatigue Management Procedure; Ashton Coal Operations - Manage the Risk of Falls and Working at Height; Ashton Coal Operations - Risk Management Procedure; Ashton Coal Operations - Work Health and Safety Policy; Austar - Air Quality or Dust or Other Airborne Contaminants PHMP; Austar - Emergency Response Management Procedure; Austar - Health Control Principal Control Plan; Bullying & Harassment - Online course; Code of Conduct Refresher; Continuous Disclosure; Continuous Disclosure Copy; Core Hazard #16 - Working at Heights; Core Hazard #5 - Fire and Explosion; Core Hazard #7A - Ground or Strata (Surface); Core Hazard #7B - Ground or Strata (Underground); Dreamworld/WhiteWater World COVID - SAFE Training; Drug and Alcohol Management - Online course; Drug and Alcohol Management- Online course; Engineering Services Induction; Food Recall Training; Isolation and Tagging SOP; IT Systems Use - Online course; L4 Assessor VOC; Laser; Solar and Electromagnetic Radiation SOP; Manual Tasks - Online course; MTW - PHMP Fire or Explosion; MTW - PHMP Spontaneous Combustion; MTW PHMP - Roads & other Vehicles Operating Areas; MTW Workplace Behaviour; PPE for Working at Heights SOP; Re-Closure After Faults SOP; RSA Refresher; Securities Trading; SkyPoint COVID-SAFE Training; Spraying; Spray Painting and Abrasive Blasting SOP; Standard Ride Operation - Skill; Whistleblower Policy; Working Near Crests and Slopes Procedure; Workplace Amenities and Hygiene SOP; Workplace Inspections and Access Control SOP; Yancoal Vehicle Policy; Yarrabee - SOP 02 - Isolation and Tagging; Yarrabee - SOP 06 - Safe Work Area; Yarrabee - SOP 07 - Flammable and Toxic Gas; Yarrabee - Std 11 - RPL- Onsite Refresher; Yarrabee SOP 02 - Isolation and Tagging; Yarrabee SOP 06 - Safe Work Area; Yarrabee SOP 07 - Flammable and Toxic Gas,
Weight,56,56,56,1," Aquatics Skill Test; Big Red Boat - Online Assessment; Big Red Boat - Ride Operation; Big Red Boat Skill; Big Red Car - Ride Operation; Big Red Car Skill; Buzzsaw Load Op - Ride Operation; Buzzsaw Op - Ride Operation; ""Dorothys Teacups - Ride Operation""; ""Dorothys Teacups Skill""; Dronkey Flyers - Online Assessment; Dronkey Flyers - Ride Operation; Dronkey Flyers Skill; DW ATT - 001b - Green Room Slide Attendant; DW ATT - 001b - Green Room Slide Attendant v2; Escape from Mad Load Op - Ride Operation; Escape from Mad Op - Ride Operation; Giant Drop Load Op - Ride Operation; Giant Drop Op - Ride Operation; ""Gingys Glider - Ride Operation""; ""Gingys Gliders - Online Assessment""; Motocoaster DH - Ride Operation; Motocoaster Op - Ride Operation; Motocoaster Ride Attendant - Operations; Ogre-Go-Round - Online Assessment; Pandamonium DH - Ride Operation; Pandamonium DH Skill; Pandamonium Op - Ride Operation; Play school wheel DH - Ride Operation; Play School Wheel Op - Ride Operation; Puss in Boots - Ride Operation; Puss In Boots Online Assessment; Puss in Boots Skill; Shockwave DH - Ride Operation; Shockwave DH Skill; Shockwave Op - Ride Operation; Shockwave Operator - Online Assessment; Shockwave Ride Attendant - Online Assessment; Sidewinder DH - Ride Operation; Sidewinder Load Op - Ride Operation; Sidewinder Op - Ride Operation; Skadoosh - Ride Operation; Skadoosh Skill; Sky Voyager Operator - Online Assessment; Sky Voyager Ride Attendant - Online Assessment; Tailspin DH - Ride Operation; Tailspin Op - Ride Operation; The Claw DH - Ride Operation; The Claw Load Op - Ride Operation; The Claw Op - Ride Operation; Train Conductor - Ride Operation; Train Conductor Skill; Train Driver - Ride Operation; Vintage Cars - Ride Operation; Vintage Cars Skill; Wiggle Bay SA Skill",
Kill switch,98,54,54,2," Aquatics Skill Test; Big Red Boat - Ride Operation; Big Red Boat Skill; Big Red Car - Ride Operation; Big Red Car Skill; Buzzsaw Load Op - Ride Operation; Buzzsaw Op - Ride Operation; ""Dorothys Teacups - Ride Operation""; ""Dorothys Teacups Skill""; Dronkey Flyers - Ride Operation; Dronkey Flyers Skill; Escape from Mad Load Op - Ride Operation; Escape from Mad Op - Ride Operation; Giant Drop Load Op - Ride Operation; Giant Drop Op - Ride Operation; ""Gingys Glider - Ride Operation""; Modifications to Electrical Control Systems SOP; Motocoaster DH - Ride Operation; Motocoaster Op - Ride Operation; Motocoaster Ride Attendant - Operations; Pandamonium DH - Ride Operation; Pandamonium DH Skill; Pandamonium Op - Ride Operation; Play school wheel DH - Ride Operation; Play School Wheel Op - Ride Operation; Puss in Boots - Ride Operation; Puss in Boots Skill; Shockwave DH - Ride Operation; Shockwave DH Skill; Shockwave Op - Ride Operation; Shreks Ogre Go Round - Ride Operation; Shreks Ogre Go Round Skill; Sidewinder DH - Ride Operation; Sidewinder Load Op - Ride Operation; Sidewinder Op - Ride Operation; Skadoosh - Ride Operation; Skadoosh Skill; Sky Voyager DH - Ride Operation; Sky Voyager Op - Ride Operation; Sky Voyager Opening Crew Online Assessment and Documentation; Sky Voyager Ride Attendant - Operations; Standard Ride Operation - Skill; Tailspin DH - Ride Operation; Tailspin Op - Ride Operation; The Claw DH - Ride Operation; The Claw Load Op - Ride Operation; The Claw Op - Ride Operation; The Claw Operator - Online Assessment; Train Conductor - Ride Operation; Train Conductor Skill; Train Driver - Ride Operation; Vintage Cars - Ride Operation; Vintage Cars Skill; Wiggle Bay SA Skill",
Push-button,97,53,53,1," Aquatics Skill Test; Big Red Boat - Ride Operation; Big Red Boat Skill; Big Red Car - Ride Operation; Big Red Car Skill; Buzzsaw Load Op - Ride Operation; Buzzsaw Op - Ride Operation; ""Dorothys Teacups - Ride Operation""; ""Dorothys Teacups Skill""; Dronkey Flyers - Ride Operation; Dronkey Flyers Skill; Escape from Mad Load Op - Ride Operation; Escape from Mad Op - Ride Operation; Giant Drop Load Op - Ride Operation; Giant Drop Op - Ride Operation; ""Gingys Glider - Ride Operation""; Motocoaster DH - Ride Operation; Motocoaster Op - Ride Operation; Motocoaster Ride Attendant - Operations; Pandamonium DH - Ride Operation; Pandamonium DH Skill; Pandamonium Op - Ride Operation; Play school wheel DH - Ride Operation; Play School Wheel Op - Ride Operation; Puss in Boots - Ride Operation; Puss in Boots Skill; Shockwave DH - Ride Operation; Shockwave DH Skill; Shockwave Op - Ride Operation; Shreks Ogre Go Round - Ride Operation; Shreks Ogre Go Round Skill; Sidewinder DH - Ride Operation; Sidewinder Load Op - Ride Operation; Sidewinder Op - Ride Operation; Skadoosh - Ride Operation; Skadoosh Skill; Sky Voyager DH - Ride Operation; Sky Voyager Op - Ride Operation; Sky Voyager Opening Crew Online Assessment and Documentation; Sky Voyager Ride Attendant - Operations; Standard Ride Operation - Skill; Tailspin DH - Ride Operation; Tailspin Op - Ride Operation; The Claw DH - Ride Operation; The Claw Load Op - Ride Operation; The Claw Op - Ride Operation; The Claw Operator - Online Assessment; Train Conductor - Ride Operation; Train Conductor Skill; Train Driver - Ride Operation; Vintage Cars - Ride Operation; Vintage Cars Skill; Wiggle Bay SA Skill",
Safety,49,47,46,3," Abel - Defect Management Plan; Abel - Health Control Plan; Abel - Isolation Procedure; Abel - Lightning and Earthing Management Plan; Access to High Voltage Conductors SOP; Access to Low Voltage Conductors SOP; Action Taken on Outbreak of Fire SOP; Aquatics Skill Test; Ashton Coal Operations - Work Health and Safety Policy; Austar - Air Quality or Dust or Other Airborne Contaminants PHMP; Austar - Defect Management Plan; Austar - Energy Isolation Procedure - Individual Isolator; Austar - Health Control Principal Control Plan; Austar - Lightning and Earthing Management Plan; Big Red Boat - Ride Operation; Big Red Boat Skill; Core Hazard #2 - Confined Space; Design and Construction of Roads SOP; Electrical Safety Equipment SOP; Equipment used for Maintaining Plant SOP; Escape from Mad Load Op - Ride Operation; ""Gingys Glider - Ride Operation""; Modifications to Electrical Control Systems SOP; Motocoaster DH - Ride Operation; Motocoaster Op - Ride Operation; Motocoaster Ride Attendant - Operations; MTW - PHMP Fire or Explosion; Play school wheel DH - Ride Operation; Play School Wheel Op - Ride Operation; Puss in Boots - Ride Operation; Puss in Boots Skill; Shockwave DH - Ride Operation; Shockwave Op - Ride Operation; Sidewinder DH - Ride Operation; Sidewinder Load Op - Ride Operation; Sidewinder Op - Ride Operation; Tailspin DH - Ride Operation; Tailspin Op - Ride Operation; The Claw DH - Ride Operation; The Claw Load Op - Ride Operation; The Claw Op - Ride Operation; Trauma Series; Yarrabee - SOP 07 - Flammable and Toxic Gas; Yarrabee - SOP 17 - Lifting Operations; Yarrabee - Std 11 - RPL- Onsite Refresher; Yarrabee SOP 07 - Flammable and Toxic Gas",
Gravity,61,47,47,1," Aquatics Skill Test; Big Red Boat - Ride Operation; Big Red Boat Skill; Big Red Car - Ride Operation; Big Red Car Skill; Buzzsaw Load Op - Ride Operation; Buzzsaw Op - Ride Operation; ""Dorothys Teacups - Ride Operation""; ""Dorothys Teacups Skill""; Dronkey Flyers - Ride Operation; Dronkey Flyers Skill; Escape from Mad Load Op - Ride Operation; Escape from Mad Op - Ride Operation; Giant Drop Load Op - Ride Operation; Giant Drop Op - Ride Operation; ""Gingys Glider - Ride Operation""; Motocoaster DH - Ride Operation; Motocoaster Op - Ride Operation; Motocoaster Ride Attendant - Operations; Pandamonium DH - Ride Operation; Pandamonium DH Skill; Pandamonium Op - Ride Operation; Play school wheel DH - Ride Operation; Play School Wheel Op - Ride Operation; Puss in Boots - Ride Operation; Puss in Boots Skill; Shockwave DH - Ride Operation; Shockwave DH Skill; Shockwave Op - Ride Operation; Shreks Ogre Go Round - Ride Operation; Shreks Ogre Go Round Skill; Sidewinder DH - Ride Operation; Sidewinder Load Op - Ride Operation; Sidewinder Op - Ride Operation; Skadoosh - Ride Operation; Skadoosh Skill; Tailspin DH - Ride Operation; Tailspin Op - Ride Operation; The Claw DH - Ride Operation; The Claw Load Op - Ride Operation; The Claw Op - Ride Operation; Train Conductor - Ride Operation; Train Conductor Skill; Train Driver - Ride Operation; Vintage Cars - Ride Operation; Vintage Cars Skill; Wiggle Bay SA Skill",
Weather,46,46,46,2," Aquatics Skill Test; Big Red Boat - Ride Operation; Big Red Boat Skill; Big Red Car - Ride Operation; Big Red Car Skill; Buzzsaw Load Op - Ride Operation; Buzzsaw Op - Ride Operation; ""Dorothys Teacups - Ride Operation""; ""Dorothys Teacups Skill""; Dronkey Flyers - Ride Operation; Dronkey Flyers Skill; Escape from Mad Load Op - Ride Operation; Escape from Mad Op - Ride Operation; Giant Drop Load Op - Ride Operation; Giant Drop Op - Ride Operation; ""Gingys Glider - Ride Operation""; Pandamonium DH - Ride Operation; Pandamonium DH Skill; Pandamonium Op - Ride Operation; Play school wheel DH - Ride Operation; Play School Wheel Op - Ride Operation; Post Blast Fume SOP; Puss in Boots - Ride Operation; Puss In Boots Online Assessment; Puss in Boots Skill; Shockwave DH - Ride Operation; Shockwave DH Skill; Shockwave Op - Ride Operation; Shreks Ogre Go Round - Ride Operation; Shreks Ogre Go Round Skill; Sidewinder DH - Ride Operation; Sidewinder Load Op - Ride Operation; Sidewinder Op - Ride Operation; Skadoosh - Ride Operation; Skadoosh Skill; Tailspin DH - Ride Operation; Tailspin Op - Ride Operation; The Claw DH - Ride Operation; The Claw Load Op - Ride Operation; The Claw Op - Ride Operation; Train Conductor - Ride Operation; Train Conductor Skill; Train Driver - Ride Operation; Vintage Cars - Ride Operation; Vintage Cars Skill; Wiggle Bay SA Skill",
