concept_name,count_questions,count_modules,count_courses,count_enterprises,courses_title
Child,28,19,7,1, Connecting with Children; Handling Transitions and Separations; Relationships with Parents; Sensory Processing Series; Speech and Language Development Milestones; Trauma Series; V2 - Sleep and Settling: Social-Emotional Development in Infants and Toddlers (Course 1)
Education,21,18,8,1, Building Independence; Conducting a Great Centre Tour; Connecting with Children; Handling Transitions and Separations; Relationships with Parents; Sensory Processing Series; Speech and Language Development Milestones; Trauma Series
Truth value,20,17,5,1, Connecting with Children; Handling Transitions and Separations; Relationships with Parents; Speech and Language Development Milestones; Trauma Series
Parent,11,8,4,1, Handling Transitions and Separations; Relationships with Parents; Sensory Processing Series; Trauma Series
Sense,9,7,4,1, Conducting a Great Centre Tour; Sensory Processing Series; Trauma Series; V2 - Sleep and Settling: Social-Emotional Development in Infants and Toddlers (Course 1)
Emotion,6,5,3,1, Building Independence; Sensory Processing Series; Trauma Series
Interpersonal relationship,5,4,3,1, Relationships with Parents; Trauma Series; V2 - Sleep and Settling: Social-Emotional Development in Infants and Toddlers (Course 1)
Skill,4,4,3,1, Building Independence; Connecting with Children; Trauma Series
Social norm,4,4,4,1, Connecting with Children; Handling Transitions and Separations; Sensory Processing Series; Speech and Language Development Milestones
Social influence,3,3,2,1, Sensory Processing Series; Trauma Series
Experience,4,3,3,1, Handling Transitions and Separations; Sensory Processing Series; Trauma Series
Binary relation,3,3,2,1, Connecting with Children; Trauma Series
X-PLOR,4,3,2,1, Exploring Xplor; Exploring Xplor - Office
Word,2,2,2,1, Speech and Language Development Milestones; Trauma Series
Concept,2,2,2,1, Connecting with Children; Relationships with Parents
Conversation,2,2,2,1, Sensory Processing Series; Speech and Language Development Milestones
Computer data storage,2,2,2,1, Connecting with Children; Relationships with Parents
Development of the nervous system,2,2,2,1, Connecting with Children; Trauma Series
Developmental psychology,2,2,2,1, Trauma Series; V2 - Sleep and Settling: Social-Emotional Development in Infants and Toddlers (Course 1)
Health,2,2,2,1, Trauma Series; V2 - Sleep and Settling: Social-Emotional Development in Infants and Toddlers (Course 1)
Formal language,2,2,2,1, Handling Transitions and Separations; Speech and Language Development Milestones
Family,2,2,2,1, Sensory Processing Series; Trauma Series
Language,2,2,2,1, Connecting with Children; Speech and Language Development Milestones
Idea,2,2,2,1, Connecting with Children; Sensory Processing Series
Infant,2,2,2,1, Connecting with Children; Handling Transitions and Separations
Information security awareness,2,2,2,1, Information Security Awareness; Test Security Course
Natural environment,2,2,2,1, Handling Transitions and Separations; Trauma Series
Nature versus nurture,2,2,2,1, Handling Transitions and Separations; Trauma Series
Social change,2,2,2,1, Handling Transitions and Separations; Speech and Language Development Milestones
Speech,2,2,1,1, Speech and Language Development Milestones
Strategy,2,2,1,1, Sensory Processing Series
Somatosensory system,2,2,2,1, Connecting with Children; Sensory Processing Series
Teacher,3,2,2,1, Connecting with Children; Trauma Series
Value (ethics),2,2,2,1, Handling Transitions and Separations; Trauma Series
Time,2,2,2,1, Connecting with Children; Trauma Series
Therapy,2,2,2,1, Sensory Processing Series; Trauma Series
Trust (emotion),2,2,2,1, Trauma Series; V2 - Sleep and Settling: Social-Emotional Development in Infants and Toddlers (Course 1)
Regulation,2,2,1,1, Sensory Processing Series
Respect,2,2,2,1, Relationships with Parents; Trauma Series
Safety,2,2,1,1, Trauma Series
Psychological trauma,2,2,1,1, Trauma Series
Perception,3,2,1,1, Sensory Processing Series
Permaculture,1,1,1,1, Sensory Processing Series
Person,1,1,1,1, Connecting with Children
Personal development,1,1,1,1, Trauma Series
Phenotypic trait,1,1,1,1, Building Independence
Phoneme,1,1,1,1, Speech and Language Development Milestones
Physical fitness,1,1,1,1, Trauma Series
Play (activity),3,1,1,1, Connecting with Children
Positivism,1,1,1,1, Trauma Series
Praise,1,1,1,1, Connecting with Children
Predictability,1,1,1,1, Trauma Series
Preference,1,1,1,1, Sensory Processing Series
Problem solving,2,1,1,1, Building Independence
Procedural memory,1,1,1,1, Relationships with Parents
Proprioception,1,1,1,1, Sensory Processing Series
Public company,1,1,1,1, Information Security Awareness
Question,1,1,1,1, quiz test
Reason,1,1,1,1, Exploring Xplor - Office
Parenting,1,1,1,1, Handling Transitions and Separations
Payment gateway,1,1,1,1, Exploring Xplor
Pediatric nursing,1,1,1,1, Handling Transitions and Separations
Scientific method,1,1,1,1, Trauma Series
Self-care,1,1,1,1, Trauma Series
Self-esteem,1,1,1,1, Connecting with Children
Risk,1,1,1,1, Building Independence
Risk management,1,1,1,1, Relationships with Parents
Role-playing,1,1,1,1, Trauma Series
Social,1,1,1,1, Trauma Series
Invoice,1,1,1,1, Exploring Xplor
Sense and reference,1,1,1,1, Relationships with Parents
Sensory nervous system,1,1,1,1, Sensory Processing Series
Sensory processing,1,1,1,1, Sensory Processing Series
Sign (semiotics),1,1,1,1, Handling Transitions and Separations
Silicon Valley of India,1,1,1,1, quiz test
Truth,1,1,1,1, Speech and Language Development Milestones
Threat (computer),1,1,1,1, Information Security Awareness
Time in Australia,1,1,1,1, Exploring Xplor - Office
Toddler,1,1,1,1, Handling Transitions and Separations
Toy,1,1,1,1, V2 - Sleep and Settling: Social-Emotional Development in Infants and Toddlers (Course 1)
Vestibular system,1,1,1,1, Sensory Processing Series
Vulnerability,1,1,1,1, Trauma Series
Wi-Fi,2,1,1,1, Information Security Awareness
Uncertainty,1,1,1,1, Trauma Series
Understanding,1,1,1,1, Trauma Series
Unique key,1,1,1,1, Relationships with Parents
User (computing),1,1,1,1, Exploring Xplor
Test (assessment),1,1,1,1, quiz test
Specialty (medicine),1,1,1,1, Handling Transitions and Separations
